Talk ID,Date,Time,Origin,Contact ID,Contact Name,Lead ID,Responsible User Name,Chat ID,Status,Duration (sec),First Message Time,First Response Duration (sec)
26703,2025-07-22,07:59:46,WhatsApp (CRM),15763358,Contact_563f76ce,L_e68f4bdf,,Chat_eb86c8bf,in_work,,,
26702,2025-07-22,07:59:45,WhatsApp (CRM),15763354,Contact_14837700,L_621238c4,,Chat_dfffaf17,in_work,,,
26701,2025-07-22,07:59:44,WhatsApp (CRM),15763352,Contact_7d3f1bfd,L_941ae3b3,,Chat_6af06c2b,in_work,,,
26700,2025-07-22,07:59:27,WhatsApp (CRM),15763340,Contact_1964a722,L_fbc5704a,,Chat_e6fdee38,in_work,,,
26699,2025-07-22,07:59:09,WhatsApp (CRM),15763328,Contact_a1414735,L_7629f14b,,Chat_261e829b,in_work,,,
26698,2025-07-22,07:59:06,WhatsApp (CRM),15763326,Contact_e2b2e654,L_958bfa4e,,Chat_4143917c,in_work,,,
26697,2025-07-22,07:58:38,Instagram Business,15763304,Contact_ffed9d28,L_90cd0e16,,Chat_6c316f30,in_work,,,
26696,2025-07-22,07:58:16,Instagram Business,15763294,Contact_e6f8eb99,L_a275a02f,,Chat_41abd463,in_work,,,
26695,2025-07-22,07:58:15,WhatsApp (CRM),15763288,Contact_4cbc9f3a,L_f94580b1,,Chat_dbdeddc0,in_work,,,
26694,2025-07-22,07:57:52,WhatsApp (CRM),15763274,Contact_34318351,L_78022cd6,,Chat_c82cf029,in_work,,,
26693,2025-07-22,07:57:33,WhatsApp (CRM),15763264,Contact_32f42c55,L_c6c0f2f0,,Chat_216c255a,in_work,,,
26692,2025-07-22,07:57:09,WhatsApp (CRM),15763238,Contact_722c9779,L_a37e6377,,Chat_1a392969,in_work,,,
26691,2025-07-22,07:56:42,WhatsApp (CRM),15763216,Contact_4449f7a4,L_d2f4ac2d,,Chat_295b1839,in_work,,,
26689,2025-07-22,07:56:32,WhatsApp (CRM),15763206,Contact_557774f2,L_38086b95,,Chat_3f3978c5,in_work,,,
26690,2025-07-22,07:56:32,WhatsApp (CRM),15763210,Contact_b8bd449f,L_3e1a2908,,Chat_4423eee9,in_work,,,
26688,2025-07-22,07:56:27,WhatsApp (CRM),15763198,Contact_998d801a,L_3e4f6ca4,,Chat_b4b4fad3,in_work,,,
26686,2025-07-22,07:56:17,WhatsApp (CRM),15763192,Contact_c5ed2f53,L_41a02d1b,,Chat_e3b8ed02,in_work,,,
26685,2025-07-22,07:56:10,Instagram Business,15763188,Contact_b5066675,L_dd87c0e9,,Chat_0abf5632,in_work,,,
26684,2025-07-22,07:56:09,WhatsApp (CRM),15763186,Contact_4545f145,L_49754dc2,,Chat_9f6c1b00,in_work,,,
26683,2025-07-22,07:55:51,WhatsApp (CRM),15763178,Contact_650f963a,L_80ce7722,,Chat_c2913a70,in_work,,,
26682,2025-07-22,07:55:18,WhatsApp (CRM),15763158,Contact_241483e0,L_0a91d223,,Chat_3948f9ee,in_work,,,
26681,2025-07-22,07:55:16,Instagram Business,15763154,Contact_a9ba7a71,L_de39de21,,Chat_696ddd3b,in_work,,,
26680,2025-07-22,07:54:58,WhatsApp (CRM),15763146,Contact_86eec2fa,L_cf08e156,,Chat_003d3336,in_work,,,
26679,2025-07-22,07:54:48,WhatsApp (CRM),15763136,Contact_a7e679bb,L_84c04960,,Chat_66358c94,in_work,,,
26678,2025-07-22,07:54:01,WhatsApp (CRM),15763106,Contact_3482745d,L_d7d52783,,Chat_7efc6dd3,in_work,,,
26677,2025-07-22,07:53:38,WhatsApp (CRM),15763086,Contact_7537a703,L_8c52dcb1,,Chat_48360b91,in_work,,,
26676,2025-07-22,07:53:31,WhatsApp (CRM),15763080,Contact_7d3cc198,L_a78b0312,,Chat_06e7e893,in_work,,,
26675,2025-07-22,07:53:02,WhatsApp (CRM),15763064,Contact_2a990bb9,L_acb323bf,,Chat_9ab4237e,in_work,,,
26674,2025-07-22,07:52:58,WhatsApp (CRM),15763054,Contact_69d517ad,L_8048f0fe,,Chat_be1f0db5,in_work,,,
